account_id,company,vertical,domain,cohort,existing_decision_maker,existing_route,organization_matched,search_candidates,selected_person,selected_title,selection_reason,enriched,match_confidence,apollo_email,attribution_role,attribution_basis,apollo_person_id,apollo_organization_id,provider_request_id,new_information,credits_estimated,outcome,note
2890e8bf-07c4-4488-bab3-c2b4bac376d4,Hawkins Service Co.,HVAC,hawkinsserviceco.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,domain-scoped,3,REDACTED_SEE_PRIVATE_AUDIT,President,REDACTED: Apollo places this person at hawkinsserviceco.com; title reads as president; Apollo holds an email for them; the company's own site names this person too; the surname is redacted until enrichmen,yes,high,REDACTED_EMAIL,DIRECT_PERSON_EMAIL,PROVIDER_STATED,REDACTED_SEE_PRIVATE_AUDIT,,,yes,1,PERSON_EMAIL,
3b0f9ba5-8aba-4ca7-9391-8c3a1bb3627c,Southern Heating and Air Conditioning,HVAC,southernheatandac.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
4fb41ccb-a3b6-4ab3-bcfa-8161ffc17a1d,Orlando HVAC Services,HVAC,hvacservicesorlando.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
5658f576-db52-43c1-aea9-14d950a2fa8c,"Wilson Heating & Air Conditioning, Inc.",HVAC,wilsonairconditioning.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
64655eeb-0009-4064-b0dc-27efe0235387,Spencer for Hire: Jacksonville HVAC Services,HVAC,spencerac.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,domain-scoped,1,REDACTED_SEE_PRIVATE_AUDIT,General Manager,"REDACTED: Apollo places this person at spencerac.com; title reads as general manager; Apollo holds no email for them, so enriching would buy nothing; the surname is redacted until enrichment, so identity",no,,,,,REDACTED_SEE_PRIVATE_AUDIT,,,no,0,FOUND_PERSON_NO_EMAIL_ON_FILE,
75f8269a-2638-4b53-b112-6ec2f4cafb7f,Greens Energy HVAC & Fuel,HVAC,greensenergy.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,domain-scoped,7,REDACTED_SEE_PRIVATE_AUDIT,Owner/President,"REDACTED: Apollo places this person at greensenergy.com; title reads as owner; Apollo holds an email for them; the surname is redacted until enrichment, so identity is provisional",yes,high,REDACTED_EMAIL,DIRECT_PERSON_EMAIL,PROVIDER_STATED,REDACTED_SEE_PRIVATE_AUDIT,,,yes,1,PERSON_EMAIL,
7f1f0618-1864-4a83-962f-be19f95aa1ed,"Glacier Heating & Air Conditioning St. Augustine, FL",HVAC,glacier-hvac.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,domain-scoped,1,,,"every candidate was refused: not a person, or not employed here",no,,,,,,,,no,0,NO_MATCH,
a2f8a889-9364-447b-b480-04b301874ec0,Mills Air Inc,HVAC,millsair.com,A_NAMED_NO_ROUTE,REDACTED_SEE_PRIVATE_AUDIT,,domain-scoped,1,REDACTED_SEE_PRIVATE_AUDIT,President,"REDACTED: Apollo places this person at millsair.com; title reads as president; Apollo holds an email for them; the company's own site names this person too; the surname is redacted until enrichment, so id",yes,high,REDACTED_EMAIL,DIRECT_PERSON_EMAIL,PROVIDER_STATED,REDACTED_SEE_PRIVATE_AUDIT,,,yes,1,PERSON_EMAIL,
005a0dbf-939e-4a56-992a-19c47e1dd378,Winter Park HVAC,HVAC,winterparkhvac.com,B_NO_DECISION_MAKER,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
04878095-33fc-4c1f-b94e-48cd00336ed6,Acosta Climate Solutions,HVAC,manus.space,B_NO_DECISION_MAKER,,REDACTED_SEE_PRIVATE_AUDIT,domain-scoped,1,,,"every candidate was refused: not a person, or not employed here",no,,,,,,,,no,0,NO_MATCH,
